,id,author,problem_id,code,submission_id,score,time,type,predicted,predicted_label
100,1962802,6631216121,05_List_11,"inp = input()
missing = []
for i in range(10) :
    if str(i) not in inp :
        missing.append(str(i))
if len(missing) == 0 :
    print('None')
else :
    print("","".join(missing))",1962802,100.0,9 months ago,unknown,0,human
107,1965584,6532190521,05_List_11,"a = list(map(str,[0,1,2,3,4,5,6,7,8,9]))
n = input()
for i in n:
    if i in a:
        a.remove(i)
if len(a)==0:
    print('None')
else:
    print(','.join(a))",1965584,100.0,8 months ago,unknown,0,human
111,2036497,6730133621,05_List_11,"x = input()
out = list(""0123456789"")
for e in x:
    if e in out:
        out.remove(e)
if len(out) == 0: print(""None"")
else: print("","".join(out))",2036497,100.0,6 months ago,unknown,0,human
115,1833045,6330070321,05_List_11,"ch = input()
out=['0','1','2','3','4','5','6','7','8','9']
z=''
for e in ch:
    if e in out:
        out.remove(e)
out = [int(e) for e in out]        
if len(out)==0:
    print('None')
else:
    for i in range(len(out)):
        z+=str(out[i])+','
    print(z[:-1:1])
        
    

",1833045,100.0,over 1 year ago,unknown,0,human
116,1877978,6630324021,05_List_11,"n = input()
listnum = ['0','1','2','3','4','5','6','7','8','9']
for i in n:
  if i in listnum:
    listnum.remove(i)


if len(listnum) == 0:
    print('None')
else:
    print(','.join(listnum))",1877978,100.0,about 1 year ago,unknown,0,human
124,2131542,6730175021,05_List_11,"n = input()
y =[""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
num = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
for e in n:
    if e in num:
        num.remove(e)
if num != []:
    print("","".join(num))
else:
    print(""None"")

",2131542,100.0,7 days ago,unknown,0,human
129,1924360,6632176921,05_List_11,"x = input()
digits = []
for i in '0123456789' :
    digits.append(i)
for c in x :
    if c in digits :
        digits.remove(c)

a = "","".join(digits)
if len(a) == 0 :
    print(""None"")
else :
    print(a)



    



",1924360,100.0,about 1 year ago,unknown,0,human
130,2017500,6731704121,05_List_11,"input = input()
num = [1,2,3,4,5,6,7,8,9,0]
output = []

for check in num:
    if input.find(str(check)) == -1:
        output.append(check)

if output == []:
    print(""None"")
    exit()

output.sort()
output = str(output).replace("" "","""")
print(output.strip(""[]""))
",2017500,100.0,7 months ago,unknown,0,human
132,1887455,6630340021,05_List_11,"x = input()
num = ['0','1','2','3','4','5','6','7','8','9']
for i in x:
    if i in num:
        num.remove(i)
if num == []:
    print(""None"")
else:
    print(','.join(num))",1887455,100.0,about 1 year ago,unknown,0,human
138,2001122,6730302321,05_List_11,"t = input()
t = list(t)
number = ['0','1','2',""3"",""4"",""5"",""6"",""7"",""8"",""9""]
n = len(t)
num_in = []
num = []
for i in range(n):
    if t[i] in number:
        num_in += [i]
for e in num_in:
    num += [t[e]]
ans = []
for f in range(10):
    if not number[f] in num:
        ans += [number[f]]
if len(ans) >0:
    n = len(ans)
    answer = ''
    for i in range(n):
        answer += ans[i]+','
    print(answer[:-1])
else:
  print('None')",2001122,100.0,7 months ago,unknown,0,human
145,2101210,6730368821,05_List_11,"a=input()
b=['0','1','2','3','4','5','6','7','8','9']
c=b
for e in a:
    if e in b:
        c.remove(e)
if c==[]:
    print('None')
else:
    print(','.join(c))
",2101210,100.0,about 1 month ago,unknown,0,human
146,2033455,6730129121,05_List_11,"n = input()
c = []
l_n = ['0','1','2','3','4','5','6','7','8','9']
for i in range(len(n)):
    if n[i] in l_n:
        l_n.remove(n[i])
    else:
        pass
if l_n != []:
    for i in range(len(l_n)):
        c.append((l_n[i]))
    print(','.join(c))
else:
    print('None')",2033455,100.0,6 months ago,unknown,0,human
150,1919175,6632091121,05_List_11,"def find_missing_digits(input_string):
    all_digits = set(""0123456789"")
    present_digits = set(input_string)
    missing_digits = all_digits - present_digits
    missing_digits_list = sorted(missing_digits)
    return missing_digits_list

if __name__ == ""__main__"":
    input_string = input()
    missing_digits = find_missing_digits(input_string)
    if missing_digits:
        print("","".join(missing_digits))
    else:
        print(""None"")
",1919175,100.0,about 1 year ago,unknown,1,generated
153,1803368,6631528021,05_List_11,"x = str(input())
n = []
if ""0"" not in x:
    n.append(0)
if ""1"" not in x:
    n.append(1)
if ""2"" not in x:
    n.append(2)
if ""3"" not in x:
    n.append(3)
if ""4"" not in x:
    n.append(4)
if ""5"" not in x:
    n.append(5)
if ""6"" not in x:
    n.append(6)
if ""7"" not in x:
    n.append(7)
if ""8"" not in x:
    n.append(8)
if ""9"" not in x:
    n.append(9)
for i in range(len(n)):
    if i == len(n)-1:
        print(str(n[i]), end="""")
        break
    print(str(n[i])+"","", end="""")
if n == []:
  print(""None"")",1803368,100.0,over 1 year ago,unknown,0,human
156,1924441,6630109521,05_List_11,"a = input()
b = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
c = []
for d in b:
    if d not in a:
        c.append(d)
if c == []:
    print(""None"")
else:
    output = "","".join(c)
    print(output)",1924441,100.0,about 1 year ago,unknown,0,human
157,1803865,6631134321,05_List_11,"a = list('0123456789')
b = input()
for i in b :
  if i in a :
    a.remove(i)
    if len(a) == 0 :
      print(""None"")
else :
    print("","".join(a))
  ",1803865,100.0,over 1 year ago,unknown,0,human
158,1877278,6630161021,05_List_11,"s = input()
num = ['0','1','2','3','4','5','6','7','8','9']
for i in s:
    if i in num:num.remove(i)
if len(num)==0 :print(None)
else: print(','.join(num))


",1877278,100.0,about 1 year ago,unknown,0,human
159,1918893,6632192921,05_List_11,"x = input()
y = ['0','1','2','3','4','5','6','7','8','9']
z = """"
for i in range(len(y)):
    if not y[i] in x:
        z += y[i]+"",""
z = z[0:-1:1]
if z == """":
    z = ""None""
print(z)",1918893,100.0,about 1 year ago,unknown,0,human
160,1885931,6632043021,05_List_11,"num = input()
find = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
count = [False]*10
out = []
for i in range(len(num)) :
    if num[i] in find :
        x = find.index(num[i])
        count[x] = True
    else :
        pass
for e in range(len(count)) :
    if count[e] == False :
        out.append(find[e])
if out != [] :
    out.sort()
    print("","".join(out))
else :
    print(""None"")",1885931,100.0,about 1 year ago,unknown,0,human
163,2034060,6732003021,05_List_11,"
text = str(input())


count = [0,0,0,0,0,0,0,0,0,0]


for character in text:
    if(""0"" <= character <= ""9""):
        count[int(character)] += 1

missing = """"
for i in range(0,10):
    if(count[i] == 0):
        missing = missing + str(i) + "",""

if(missing != """"):
    missing = missing[:-1]

if(missing == """"):
    print(""None"")
else:
    print(missing)",2034060,100.0,6 months ago,unknown,0,human
169,2002958,6730455721,05_List_11,"p=input()
num=[0,1,2,3,4,5,6,7,8,9]
numcount=[]
n=[]
for e in p:
  if ""0""<=e<=""9"":
    numcount.append(e)
for f in num:
  if str(f) not in numcount:
    n.append(str(f))
if n!=[]:
  t="","".join(n)
  print(t)
else:
  print(""None"")
    ",2002958,100.0,7 months ago,unknown,0,human
170,1886370,6630283021,05_List_11,"x = input()
a = '0123456789'
y = ''
for i in range(len(a)) :
    if a[i] in x :
        pass
    else :
        y += a[i]
y = ','.join(y)
if y == '' :
    y = 'None'
print(y)",1886370,100.0,about 1 year ago,unknown,0,human
173,1803570,6631514121,05_List_11,"x = input()
y = ""0123456789""
o = []
for i in y:
    if i not in x:
        o.append(i)
if len(o) == 0: print(""None"")
else: print("","".join(o))",1803570,100.0,over 1 year ago,unknown,0,human
174,2119447,6631516421,05_List_11,"n = input()
a = [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8"", ""9""]

# หาตัวเลขที่ไม่ปรากฏใน n
missing_numbers = [int(x) for x in a if x not in n]

# เรียงลำดับจากน้อยไปมาก
missing_numbers.sort()

# แสดงผลลัพธ์
if missing_numbers:
    print("","".join(map(str, missing_numbers)))
else:
    print(""None"")
",2119447,100.0,30 days ago,unknown,0,human
175,2033430,6730129121,05_List_11,"n = input()
c = []
l_n = ['0','1','2','3','4','5','6','7','8','9']
for i in range(len(n)):
    if n[i] in l_n:
        l_n.remove(n[i])
    else:
        pass
if l_n != []:
    for i in range(len(l_n)):
        c.append((l_n[i]))
    print(','.join(c))
else:
    print('None')",2033430,100.0,6 months ago,unknown,0,human
176,2041375,6731417021,05_List_11,"a = input()
a = list(a)
num = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
k = False
v = """"
for i in a:
    if i in num:
        num.remove(i)
    else:
        num = num
if num == []:
    print(""None"")
else:
    v += num[0]
    for q in range(1,len(num)):
        v += "",""+ num[q]
print(v)    
    ",2041375,100.0,5 months ago,unknown,0,human
177,2017265,6730029021,05_List_11,"d = list(""0123456789"")
x = input()
for c in x:
    if c in d:
        d.remove(c)
if len(d) == 0:
    print(""None"")
else :
    print("","".join(d))",2017265,100.0,7 months ago,unknown,0,human
181,1883555,6632026421,05_List_11,"#s = input()
lista = [e for e in input()]
numlist = ['0','1','2','3','4','5','6','7','8','9']
sum = ''
for e in lista :
    if e in numlist :
        numlist.remove(e)
if numlist == []:
    print('None')
else :
    for e in numlist:
        sum = sum+e+','
    sum = sum[0:-1]
    print(sum)",1883555,100.0,about 1 year ago,unknown,0,human
182,1803820,6631125721,05_List_11,"digit = list('0123456789')
x = input()
for i in x:
  if i in digit:
    digit.remove(i)
if len(digit) == 0:
  print('None')
else:
  print(','.join(digit))",1803820,100.0,over 1 year ago,unknown,0,human
183,1917151,6632066521,05_List_11,"digits = list('0123456789')
x = input()
for c in x:
  if c in digits:
    digits.remove(c)
if len(digits) == 0:
  print('None')
else :
  print(','.join(digits))",1917151,100.0,about 1 year ago,unknown,0,human
184,1914985,6630312521,05_List_11,"x=input()
c=''
for i in '0123456789' :
    if not i in x :
        c+= (i)
        
if c=='':
    print('None')
else :
    print(','.join(c))",1914985,100.0,about 1 year ago,unknown,0,human
187,2104593,6730367121,05_List_11,"s = input()
num_list = list('0123456789')
out = ''

for e in s:
    if e in num_list:
        num_list.remove(e)
    else:
        pass

if num_list != []:
    for i in num_list[:len(num_list)-1]:
        out += i+','
    print(out+num_list[-1])
else:
    print('None')

",2104593,100.0,about 1 month ago,unknown,0,human
192,1881473,6630204421,05_List_11,"d=input()
a=['0','1','2','3','4','5','6','7','8','9']
for c in d:
 if c in a:
     a.remove(c)
f="","".join(a)
if a==[]:
 f='None'
print(f)",1881473,100.0,about 1 year ago,unknown,0,human
193,2016325,6731424421,05_List_11,"digits = list(""0123456789"")
x = input()
for c in x:
    if c in digits:
        digits.remove(c)
if len(digits) == 0:
    print(""None"")
else:
    print("","".join(digits))

",2016325,100.0,7 months ago,unknown,0,human
197,2034062,6731022821,05_List_11,"d=list(""0123456789"")
num=[]
numx=input()
numx=numx.replace(' ','')
var  = numx.isalpha()

if not var :  
    for i in numx:
        if i.isnumeric() :
            num.append(i)
    num=list(map(str,num))
    num=set(num)
    num=list(sorted(num))
    

    if num == d :
        print('None')
    else :
        for i in set(d) :
            if i in set(num) :
                d.remove(i)
        d=list(map(str,d))
        print("","".join(d))
    
else :
    print(','.join(d))
    

",2034062,100.0,6 months ago,unknown,0,human
198,2006636,6731301921,05_List_11,"a = input()
n = ['0','1','2','3','4','5','6','7','8','9']
d = []
for i in range(len(a)) :
    if a[i] in n :
        n.remove(a[i])
if n == [] :
    print('None')
else :
    print(','.join(n))",2006636,100.0,7 months ago,unknown,0,human
199,1803192,6331322721,05_List_11,"user_input = input()
number_list = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]

for i in str(user_input):
    if i in number_list:
        number_list.remove(i)

if len(number_list):
    print("","".join(number_list))
else:
    print(""None"")",1803192,100.0,over 1 year ago,unknown,0,human
201,2054775,6632064221,05_List_11,"n = ['0','1','2','3','4','5','6','7','8','9']
x = input()
for i in x:
    if i in n:
        n.remove(i)
if len(n)!=0:
    print(','.join(n))
else:
    print('None')",2054775,100.0,5 months ago,unknown,0,human
202,1803364,6632092821,05_List_11,"num = ['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']
a = input()
i = 0
l = []
for _ in num:
    if _ in a:
        i += 1
    else:
        l.append(_)
if i == len(num):
    print(""None"")
else:
    print("","".join(l))
",1803364,100.0,over 1 year ago,unknown,0,human
203,2001786,6730130721,05_List_11,"a = input()
n = ['0','1','2','3','4','5','6','7','8','9',""e""]
for i in range (len(a)):
        for j in range (len(n)-1) :
            if a[i] == n[j] :
                n.remove(a[i])

n.remove(""e"")
if len(n) == 0 :
    print(""None"")
else :
    for i in range (len(n)-1):
        print(str(n[i])+"","",end='')
    print(n[len(n)-1])",2001786,100.0,7 months ago,unknown,0,human
207,2111520,6730391121,05_List_11,"x = input()
number = ['0','1','2','3','4','5','6','7','8','9']

for c in x:
    if c in number:
        number.remove(c)
if len(number) == 0:
    print('None')
else:
    print(','.join(number))",2111520,100.0,about 1 month ago,unknown,0,human
221,1803000,6630065521,05_List_11,"a=[""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
b=input()
c=""""
for i in range(len(b)):
    if b[i] in a:
        a.remove(b[i])
    else:
        pass
if len(a)>0:   
    for j in range(1,len(a)+1):
        c+=a[j-1]
        if j<len(a):
            c+="",""
        else:
            pass
    print(c)
else:
    print(""None"")",1803000,100.0,over 1 year ago,unknown,0,human
222,1897178,6632178121,05_List_11,"a = input()
b = ['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']
c = []
for i in range(len(b)) :
    if b[i] in a :
        pass
    else :
        c.append(b[i])
    if c == [] :
        d = 'None'
    else :
        d = ','.join(c)
print(d)",1897178,100.0,about 1 year ago,unknown,0,human
223,2130211,6730297921,05_List_11,"n = [str(e) for e in input()]
num = ['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']
missing = ''
ans =''
for e in num :
    if e not in n :
        missing += str(e)
    else :
        pass
if len(missing) == 0 :
    print ('None')
else :
    for e in missing :
        ans += (',' + str(e))
        ','.join(ans)
    print (ans[1:])",2130211,100.0,8 days ago,unknown,0,human
226,1896065,6632060721,05_List_11,"s=list('0123456789')
n=input()
for i in n:
  if i in s:
    s.remove(i)
if len(s)==0:
  print('None')
else:
  print(','.join(s))",1896065,100.0,about 1 year ago,unknown,0,human
229,1827999,6631302421,05_List_11,"st = input()
allnums = [str(i) for i in range(10)]
numsst = []
for ch in st:
    if ch in allnums:
        if ch not in numsst:
            numsst.append(ch)
notinst = []
for e in allnums:
    if e not in numsst:
        notinst.append(e)
printing = """"
for e in notinst:
    printing += e
    printing += "",""
printing = printing[:-1:]
if printing != """":
    print(printing)
else:
    print(""None"")",1827999,100.0,over 1 year ago,unknown,0,human
231,1887439,6630363521,05_List_11,"input_string = input()

number_list = list(range(10))

result_list = []
index = 0
while index < len(input_string):
    char = input_string[index]
    if char.isdigit() and int(char) in number_list:
        result_list.append(int(char))
        number_list.remove(int(char))
    index += 1

if number_list:
    print(','.join(map(str, number_list)))
else:
    print(""None"")",1887439,100.0,about 1 year ago,unknown,0,human
233,1803690,6631120521,05_List_11,"inp = input()

digits = set(""0123456789"")

presentdigits = set(inp)

missingdigits_set = digits - presentdigits

missingdigits_list = sorted(list(missingdigits_set))

missingdigits_string = ','.join(missingdigits_list)

if missingdigits_string:
    print(missingdigits_string)
else:
    print(""None"")",1803690,100.0,over 1 year ago,unknown,0,human
234,1807555,6632189021,05_List_11,"n = input()
nlist = ['0', '1', '2', '3', '4', '5','6', '7', '8', '9']
j = None
v = None
for i in n:
    if i in nlist:
        nlist.remove(i)
if nlist == []:
    print('None')
else:
    print(','.join(nlist))",1807555,100.0,over 1 year ago,unknown,0,human
235,1892573,6632242621,05_List_11,"n = input()
nm = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
out = """"
for e in nm:
    if e not in n:
        out += e+"",""
if out == """":
    print(""None"")
else:
    print(out[:-1:])",1892573,100.0,about 1 year ago,unknown,0,human
236,1965036,6631005021,05_List_11,"digits = []
for x in '0123456789' :
    digits.append(x)
s = input()
for c in s :
    if c in digits :
        digits.remove(c)
if len(digits) == 0 :
    print('None')
print(','.join(digits))",1965036,100.0,9 months ago,unknown,0,human
238,1820539,6631010121,05_List_11,"s = input()
n = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
for i in s:
    if i in n:
        n.remove(i)
if len(n) == 0: print(""None"")
else: print("","".join(n))
",1820539,100.0,over 1 year ago,unknown,0,human
239,1885353,6630307421,05_List_11,"l = []
x = input()

for i in range(10):
    if str(i) not in x:
        l.append(str(i))

if l:
    print(','.join(l))
else:
    print(""None"")

",1885353,100.0,about 1 year ago,unknown,0,human
245,1995718,6731336921,05_List_11,"text = input()
missing = []
for i in range(10):
    if str(i) not in text:
        missing.append(str(i))
if missing:
    print(','.join(missing))
else:
    print('None')",1995718,100.0,7 months ago,unknown,1,generated
254,1935464,6632183221,05_List_11,"b = input()
a = list('0123456789')
for i in b:
    if i in a:
        a.remove(i)
if a == []:
    print(""None"")
else:
    print(','.join(a))",1935464,100.0,12 months ago,unknown,0,human
255,1803565,6632123621,05_List_11,"a =input()
n = ['0','1','2','3','4','5','6','7','8','9']
nlist =[]

if all(i in a for i in n):
    nlist.append('None')
                 
for i in n:
    if i not in a:
        nlist.append(i)
    
print(','.join(nlist))",1803565,100.0,over 1 year ago,unknown,0,human
259,1828788,6630080921,05_List_11,"numbers = [""0"",""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9""]
missing = []
code = input()
for num in numbers :
    if num not in code :
        missing.append(int(num))
    
if len(missing) == 0 :
    print(None)
else :
    for num in missing :
        if num != missing[-1] :
            print(num, end = "","")
        else :
            print(num)
            ",1828788,100.0,over 1 year ago,unknown,0,human
260,1803758,6631534721,05_List_11,"input_string = input()
all_digits = set(""0123456789"")
appeared_digits = set(input_string)
missing_digits = all_digits - appeared_digits

if missing_digits:
    print(','.join(sorted(missing_digits)))
else:
    print('None')
",1803758,100.0,over 1 year ago,unknown,0,human
261,2041791,6731354121,05_List_11,"#77 05_​MissingDigits 
x = input()
num = []
for i in range(10) :
    num.append(str(i))
for i in x :
    if '0' <= i <= '9' and i in num :
        num.remove(i)
if len(num) != 0 : print(','.join(num))
else : print('None')",2041791,100.0,5 months ago,unknown,0,human
267,2016045,6730094821,05_List_11,"k=str(input())
l=(""0 1 2 3 4 5 6 7 8 9"").split()
h=''
for i in k:
    if i in l:
        l.remove(i)
for j in l:
    if '0'<=j<='9' :
        h+=','+j
h=h[1:]
if h=='':
    h='None'    
print(h)
",2016045,100.0,7 months ago,unknown,0,human
268,1831402,6631227021,05_List_11,"K = input()
N = []
C = []
J = [0,1,2,3,4,5,6,7,8,9]
Jp = []

for i in range(len(K)) :
    if K[i] in '0123456789' : 
       N.append(int(K[i]))
    
N.sort()
    
for i in range(len(N)) :
    if N[i] not in C :
       C.append(N[i])

for i in range(len(C)) :
    J.remove(C[i])
    
if J == [] :
   print('None')

else :
    for i in J :
        Jp.append(str(i))
    print("","".join(Jp))",1831402,100.0,over 1 year ago,unknown,0,human
